月平均值查詢-中山
資料時間：2021年
"測項","日期","平均值","單位","備註"
CH4,2021/01,2.06,ppm,
CH4,2021/02,2.09,ppm,
CH4,2021/03,2.13,ppm,
CH4,2021/04,2.02,ppm,
CH4,2021/05,2.01,ppm,
CH4,2021/06,1.95,ppm,
CH4,2021/07,1.94,ppm,
CH4,2021/08,2.11,ppm,
CH4,2021/09,2.05,ppm,
CH4,2021/10,2.13,ppm,
CH4,2021/11,2.18,ppm,
CH4,2021/12,2.18,ppm,
CO,2021/01,0.56,ppm,
CO,2021/02,0.57,ppm,
CO,2021/03,0.71,ppm,
CO,2021/04,0.5,ppm,
CO,2021/05,0.46,ppm,
CO,2021/06,0.38,ppm,
CO,2021/07,0.34,ppm,
CO,2021/08,0.45,ppm,
CO,2021/09,0.38,ppm,
CO,2021/10,0.37,ppm,
CO,2021/11,0.47,ppm,
CO,2021/12,0.5,ppm,
NMHC,2021/01,0.14,ppm,
NMHC,2021/02,0.15,ppm,
NMHC,2021/03,0.2,ppm,
NMHC,2021/04,0.12,ppm,
NMHC,2021/05,0.15,ppm,
NMHC,2021/06,0.14,ppm,
NMHC,2021/07,0.12,ppm,
NMHC,2021/08,0.1,ppm,
NMHC,2021/09,0.07,ppm,
NMHC,2021/10,0.07,ppm,
NMHC,2021/11,0.11,ppm,
NMHC,2021/12,0.13,ppm,
NO,2021/01,8.61,ppb,
NO,2021/02,7.25,ppb,
NO,2021/03,11.04,ppb,
NO,2021/04,5.67,ppb,
NO,2021/05,4.95,ppb,
NO,2021/06,4.89,ppb,
NO,2021/07,3.97,ppb,
NO,2021/08,5.36,ppb,
NO,2021/09,4.74,ppb,
NO,2021/10,4.83,ppb,
NO,2021/11,5.15,ppb,
NO,2021/12,7.45,ppb,
NO2,2021/01,21.4,ppb,
NO2,2021/02,22.82,ppb,
NO2,2021/03,25.26,ppb,
NO2,2021/04,19.56,ppb,
NO2,2021/05,17.84,ppb,
NO2,2021/06,13.36,ppb,
NO2,2021/07,11.81,ppb,
NO2,2021/08,16.44,ppb,
NO2,2021/09,13.55,ppb,
NO2,2021/10,15.08,ppb,
NO2,2021/11,20.5,ppb,
NO2,2021/12,21.11,ppb,
NOx,2021/01,30.05,ppb,
NOx,2021/02,30.11,ppb,
NOx,2021/03,36.34,ppb,
NOx,2021/04,25.27,ppb,
NOx,2021/05,22.84,ppb,
NOx,2021/06,18.3,ppb,
NOx,2021/07,15.83,ppb,
NOx,2021/08,21.86,ppb,
NOx,2021/09,18.34,ppb,
NOx,2021/10,19.97,ppb,
NOx,2021/11,25.71,ppb,
NOx,2021/12,28.62,ppb,
O3,2021/01,24.25,ppb,
O3,2021/02,28.58,ppb,
O3,2021/03,23.29,ppb,
O3,2021/04,34.82,ppb,
O3,2021/05,27.39,ppb,
O3,2021/06,25.29,ppb,
O3,2021/07,21.87,ppb,
O3,2021/08,17.61,ppb,
O3,2021/09,19.89,ppb,
O3,2021/10,23.29,ppb,
O3,2021/11,25.41,ppb,
O3,2021/12,22.45,ppb,
PM10,2021/01,26,μg/m3,
PM10,2021/02,30.3,μg/m3,
PM10,2021/03,34.1,μg/m3,
PM10,2021/04,29.5,μg/m3,
PM10,2021/05,29.3,μg/m3,
PM10,2021/06,18.3,μg/m3,
PM10,2021/07,19,μg/m3,
PM10,2021/08,20.4,μg/m3,
PM10,2021/09,19.3,μg/m3,
PM10,2021/10,19.1,μg/m3,
PM10,2021/11,24,μg/m3,
PM10,2021/12,24.9,μg/m3,
PM2.5,2021/01,14.3,μg/m3,
PM2.5,2021/02,20.3,μg/m3,
PM2.5,2021/03,22,μg/m3,
PM2.5,2021/04,15.9,μg/m3,
PM2.5,2021/05,16.3,μg/m3,
PM2.5,2021/06,9.3,μg/m3,
PM2.5,2021/07,9.4,μg/m3,
PM2.5,2021/08,10.4,μg/m3,
PM2.5,2021/09,10.1,μg/m3,
PM2.5,2021/10,8.1,μg/m3,
PM2.5,2021/11,11.3,μg/m3,
PM2.5,2021/12,12.5,μg/m3,
SO2,2021/01,1.87,ppb,
SO2,2021/02,1.9,ppb,
SO2,2021/03,2.27,ppb,
SO2,2021/04,1.76,ppb,
SO2,2021/05,2.31,ppb,
SO2,2021/06,2.14,ppb,
SO2,2021/07,1.28,ppb,
SO2,2021/08,1.24,ppb,
SO2,2021/09,1.11,ppb,
SO2,2021/10,1.04,ppb,
SO2,2021/11,1.31,ppb,
SO2,2021/12,1.11,ppb,
THC,2021/01,2.21,ppm,
THC,2021/02,2.25,ppm,
THC,2021/03,2.34,ppm,
THC,2021/04,2.15,ppm,
THC,2021/05,2.17,ppm,
THC,2021/06,2.1,ppm,
THC,2021/07,2.06,ppm,
THC,2021/08,2.22,ppm,
THC,2021/09,2.13,ppm,
THC,2021/10,2.21,ppm,
THC,2021/11,2.3,ppm,
THC,2021/12,2.32,ppm,
