月平均值查詢-前鎮
資料時間：2020年
"測項","日期","平均值","單位","備註"
CH4,2020/01,2.05,ppm,
CH4,2020/02,2,ppm,
CH4,2020/03,1.98,ppm,
CH4,2020/04,1.97,ppm,
CH4,2020/05,1.84,ppm,
CH4,2020/06,1.79,ppm,
CH4,2020/07,1.81,ppm,
CH4,2020/08,1.85,ppm,
CH4,2020/09,1.93,ppm,
CH4,2020/10,1.98,ppm,
CH4,2020/11,1.97,ppm,
CH4,2020/12,1.97,ppm,
CO,2020/01,0.68,ppm,
CO,2020/02,0.55,ppm,
CO,2020/03,0.54,ppm,
CO,2020/04,0.49,ppm,
CO,2020/05,0.34,ppm,
CO,2020/06,0.28,ppm,
CO,2020/07,0.32,ppm,
CO,2020/08,0.43,ppm,
CO,2020/09,0.43,ppm,
CO,2020/10,0.47,ppm,
CO,2020/11,0.52,ppm,
CO,2020/12,0.57,ppm,
NMHC,2020/01,0.2,ppm,
NMHC,2020/02,0.18,ppm,
NMHC,2020/03,0.17,ppm,
NMHC,2020/04,0.14,ppm,
NMHC,2020/05,0.11,ppm,
NMHC,2020/06,0.1,ppm,
NMHC,2020/07,0.12,ppm,
NMHC,2020/08,0.15,ppm,
NMHC,2020/09,0.12,ppm,
NMHC,2020/10,0.15,ppm,
NMHC,2020/11,0.18,ppm,
NMHC,2020/12,0.18,ppm,
NO,2020/01,5.16,ppb,
NO,2020/02,4.83,ppb,
NO,2020/03,3.57,ppb,
NO,2020/04,2.91,ppb,
NO,2020/05,3.75,ppb,
NO,2020/06,4.56,ppb,
NO,2020/07,4.73,ppb,
NO,2020/08,6.02,ppb,
NO,2020/09,3.65,ppb,
NO,2020/10,2.73,ppb,
NO,2020/11,4.42,ppb,
NO,2020/12,5.6,ppb,
NO2,2020/01,22.44,ppb,
NO2,2020/02,20.08,ppb,
NO2,2020/03,18.13,ppb,
NO2,2020/04,16.18,ppb,
NO2,2020/05,11.56,ppb,
NO2,2020/06,8.86,ppb,
NO2,2020/07,10.54,ppb,
NO2,2020/08,15.74,ppb,
NO2,2020/09,15.36,ppb,
NO2,2020/10,18.28,ppb,
NO2,2020/11,20.04,ppb,
NO2,2020/12,21.47,ppb,
NOx,2020/01,27.6,ppb,
NOx,2020/02,24.91,ppb,
NOx,2020/03,21.69,ppb,
NOx,2020/04,19.08,ppb,
NOx,2020/05,15.3,ppb,
NOx,2020/06,13.41,ppb,
NOx,2020/07,15.26,ppb,
NOx,2020/08,21.74,ppb,
NOx,2020/09,19,ppb,
NOx,2020/10,21,ppb,
NOx,2020/11,24.45,ppb,
NOx,2020/12,27.06,ppb,
O3,2020/01,29.96,ppb,
O3,2020/02,30.48,ppb,
O3,2020/03,34.49,ppb,
O3,2020/04,42.62,ppb,
O3,2020/05,22.77,ppb,
O3,2020/06,14.16,ppb,
O3,2020/07,15.6,ppb,
O3,2020/08,19,ppb,
O3,2020/09,37.23,ppb,
O3,2020/10,39.97,ppb,
O3,2020/11,31.24,ppb,
O3,2020/12,22.45,ppb,
PM10,2020/01,55.8,μg/m3,
PM10,2020/02,54.3,μg/m3,
PM10,2020/03,49.5,μg/m3,
PM10,2020/04,47.8,μg/m3,
PM10,2020/05,22.3,μg/m3,
PM10,2020/06,13.6,μg/m3,
PM10,2020/07,15.3,μg/m3,
PM10,2020/08,22.2,μg/m3,
PM10,2020/09,34.4,μg/m3,
PM10,2020/10,53.2,μg/m3,
PM10,2020/11,54.2,μg/m3,
PM10,2020/12,55.5,μg/m3,
PM2.5,2020/01,27.7,μg/m3,
PM2.5,2020/02,25.1,μg/m3,
PM2.5,2020/03,23.6,μg/m3,
PM2.5,2020/04,23.3,μg/m3,
PM2.5,2020/05,8.7,μg/m3,
PM2.5,2020/06,3,μg/m3,
PM2.5,2020/07,6,μg/m3,
PM2.5,2020/08,10.4,μg/m3,
PM2.5,2020/09,17.2,μg/m3,
PM2.5,2020/10,23.9,μg/m3,
PM2.5,2020/11,26.6,μg/m3,
PM2.5,2020/12,31.4,μg/m3,
SO2,2020/01,2.49,ppb,
SO2,2020/02,2.65,ppb,
SO2,2020/03,2.63,ppb,
SO2,2020/04,2.57,ppb,
SO2,2020/05,2.21,ppb,
SO2,2020/06,1.85,ppb,
SO2,2020/07,2.36,ppb,
SO2,2020/08,2.46,ppb,
SO2,2020/09,2.79,ppb,
SO2,2020/10,2.81,ppb,
SO2,2020/11,2.48,ppb,
SO2,2020/12,2.33,ppb,
THC,2020/01,2.25,ppm,
THC,2020/02,2.18,ppm,
THC,2020/03,2.15,ppm,
THC,2020/04,2.11,ppm,
THC,2020/05,1.95,ppm,
THC,2020/06,1.9,ppm,
THC,2020/07,1.94,ppm,
THC,2020/08,2,ppm,
THC,2020/09,2.05,ppm,
THC,2020/10,2.12,ppm,
THC,2020/11,2.15,ppm,
THC,2020/12,2.16,ppm,
