月平均值查詢-大里
資料時間：2020年
"測項","日期","平均值","單位","備註"
CH4,2020/01,1.89,ppm,
CH4,2020/02,1.86,ppm,
CH4,2020/03,1.83,ppm,
CH4,2020/04,1.8,ppm,
CH4,2020/05,1.75,ppm,
CH4,2020/06,1.66,ppm,
CH4,2020/07,1.68,ppm,
CH4,2020/08,1.79,ppm,
CH4,2020/09,1.9,ppm,
CH4,2020/10,1.87,ppm,
CH4,2020/11,1.86,ppm,
CH4,2020/12,1.83,ppm,
CO,2020/01,0.64,ppm,
CO,2020/02,0.53,ppm,
CO,2020/03,0.51,ppm,
CO,2020/04,0.48,ppm,
CO,2020/05,0.36,ppm,
CO,2020/06,0.24,ppm,
CO,2020/07,0.24,ppm,
CO,2020/08,0.29,ppm,
CO,2020/09,0.41,ppm,
CO,2020/10,0.41,ppm,
CO,2020/11,0.47,ppm,
CO,2020/12,0.45,ppm,
NMHC,2020/01,0.23,ppm,
NMHC,2020/02,0.21,ppm,
NMHC,2020/03,0.18,ppm,
NMHC,2020/04,0.17,ppm,
NMHC,2020/05,0.17,ppm,
NMHC,2020/06,0.11,ppm,
NMHC,2020/07,0.11,ppm,
NMHC,2020/08,0.14,ppm,
NMHC,2020/09,0.16,ppm,
NMHC,2020/10,0.15,ppm,
NMHC,2020/11,0.21,ppm,
NMHC,2020/12,0.17,ppm,
NO,2020/01,5.5,ppb,
NO,2020/02,3.77,ppb,
NO,2020/03,2.44,ppb,
NO,2020/04,2.07,ppb,
NO,2020/05,2.02,ppb,
NO,2020/06,2.67,ppb,
NO,2020/07,2.54,ppb,
NO,2020/08,2.37,ppb,
NO,2020/09,2.53,ppb,
NO,2020/10,2.36,ppb,
NO,2020/11,3.61,ppb,
NO,2020/12,4.4,ppb,
NO2,2020/01,20.52,ppb,
NO2,2020/02,18.64,ppb,
NO2,2020/03,17.4,ppb,
NO2,2020/04,16.74,ppb,
NO2,2020/05,11.63,ppb,
NO2,2020/06,7.74,ppb,
NO2,2020/07,8.12,ppb,
NO2,2020/08,9.11,ppb,
NO2,2020/09,13.64,ppb,
NO2,2020/10,14.76,ppb,
NO2,2020/11,17.76,ppb,
NO2,2020/12,16.53,ppb,
NOx,2020/01,26,ppb,
NOx,2020/02,22.37,ppb,
NOx,2020/03,19.84,ppb,
NOx,2020/04,18.81,ppb,
NOx,2020/05,13.65,ppb,
NOx,2020/06,10.41,ppb,
NOx,2020/07,10.66,ppb,
NOx,2020/08,11.47,ppb,
NOx,2020/09,16.16,ppb,
NOx,2020/10,17.12,ppb,
NOx,2020/11,21.37,ppb,
NOx,2020/12,20.92,ppb,
O3,2020/01,21.73,ppb,
O3,2020/02,25.55,ppb,
O3,2020/03,28.82,ppb,
O3,2020/04,32.98,ppb,
O3,2020/05,23.52,ppb,
O3,2020/06,17.85,ppb,
O3,2020/07,20.42,ppb,
O3,2020/08,23.4,ppb,
O3,2020/09,34.66,ppb,
O3,2020/10,33.79,ppb,
O3,2020/11,25.07,ppb,
O3,2020/12,20.3,ppb,
PM10,2020/01,42.9,μg/m3,
PM10,2020/02,44.6,μg/m3,
PM10,2020/03,44.4,μg/m3,
PM10,2020/04,38.4,μg/m3,
PM10,2020/05,25.4,μg/m3,
PM10,2020/06,19.7,μg/m3,
PM10,2020/07,19.2,μg/m3,
PM10,2020/08,24.4,μg/m3,
PM10,2020/09,32.2,μg/m3,
PM10,2020/10,32.3,μg/m3,
PM10,2020/11,38.3,μg/m3,
PM10,2020/12,24.5,μg/m3,
PM2.5,2020/01,24.1,μg/m3,
PM2.5,2020/02,24,μg/m3,
PM2.5,2020/03,23.4,μg/m3,
PM2.5,2020/04,21.6,μg/m3,
PM2.5,2020/05,13,μg/m3,
PM2.5,2020/06,8.7,μg/m3,
PM2.5,2020/07,8.4,μg/m3,
PM2.5,2020/08,12.9,μg/m3,
PM2.5,2020/09,17.2,μg/m3,
PM2.5,2020/10,16.5,μg/m3,
PM2.5,2020/11,19.7,μg/m3,
PM2.5,2020/12,14.1,μg/m3,
SO2,2020/01,2.72,ppb,
SO2,2020/02,2.76,ppb,
SO2,2020/03,2.77,ppb,
SO2,2020/04,2.49,ppb,
SO2,2020/05,2.75,ppb,
SO2,2020/06,2.75,ppb,
SO2,2020/07,2.92,ppb,
SO2,2020/08,2.78,ppb,
SO2,2020/09,3.04,ppb,
SO2,2020/10,2.93,ppb,
SO2,2020/11,2.89,ppb,
SO2,2020/12,2.46,ppb,
THC,2020/01,2.12,ppm,
THC,2020/02,2.07,ppm,
THC,2020/03,2.01,ppm,
THC,2020/04,1.97,ppm,
THC,2020/05,1.92,ppm,
THC,2020/06,1.77,ppm,
THC,2020/07,1.79,ppm,
THC,2020/08,1.93,ppm,
THC,2020/09,2.07,ppm,
THC,2020/10,2.03,ppm,
THC,2020/11,2.07,ppm,
THC,2020/12,2,ppm,
