"測項","日期","平均值","單位","備註"
CH4,2021/01,1.87,ppm,
CH4,2021/02,1.88,ppm,
CH4,2021/03,2.06,ppm,
CH4,2021/04,2.06,ppm,
CH4,2021/05,1.97,ppm,
CH4,2021/06,1.91,ppm,
CH4,2021/07,1.94,ppm,
CH4,2021/08,2.09,ppm,
CH4,2021/09,2.1,ppm,
CH4,2021/10,2.13,ppm,
CH4,2021/11,2.18,ppm,
CH4,2021/12,2.2,ppm,
CO,2021/01,0.55,ppm,
CO,2021/02,0.52,ppm,
CO,2021/03,0.5,ppm,
CO,2021/04,0.41,ppm,
CO,2021/05,0.26,ppm,
CO,2021/06,0.22,ppm,
CO,2021/07,0.2,ppm,
CO,2021/08,0.24,ppm,
CO,2021/09,0.29,ppm,
CO,2021/10,0.37,ppm,
CO,2021/11,0.43,ppm,
CO,2021/12,0.42,ppm,
NMHC,2021/01,0.23,ppm,
NMHC,2021/02,0.21,ppm,
NMHC,2021/03,0.2,ppm,
NMHC,2021/04,0.18,ppm,
NMHC,2021/05,0.1,ppm,
NMHC,2021/06,0.13,ppm,
NMHC,2021/07,0.08,ppm,
NMHC,2021/08,0.14,ppm,
NMHC,2021/09,0.12,ppm,
NMHC,2021/10,0.14,ppm,
NMHC,2021/11,0.2,ppm,
NMHC,2021/12,0.2,ppm,
NO,2021/01,6.77,ppb,
NO,2021/02,3.96,ppb,
NO,2021/03,3.79,ppb,
NO,2021/04,2.04,ppb,無效
NO,2021/05,1.92,ppb,
NO,2021/06,2.13,ppb,
NO,2021/07,1.87,ppb,
NO,2021/08,2.41,ppb,
NO,2021/09,2.14,ppb,
NO,2021/10,2.63,ppb,
NO,2021/11,4.15,ppb,
NO,2021/12,5.26,ppb,
NO2,2021/01,20.1,ppb,
NO2,2021/02,19.75,ppb,
NO2,2021/03,19.98,ppb,
NO2,2021/04,15.76,ppb,無效
NO2,2021/05,8.97,ppb,
NO2,2021/06,7.38,ppb,
NO2,2021/07,7.46,ppb,
NO2,2021/08,8.96,ppb,
NO2,2021/09,10.6,ppb,
NO2,2021/10,13.57,ppb,
NO2,2021/11,18.03,ppb,
NO2,2021/12,17.23,ppb,
NOx,2021/01,26.92,ppb,
NOx,2021/02,23.77,ppb,
NOx,2021/03,23.82,ppb,
NOx,2021/04,17.84,ppb,無效
NOx,2021/05,10.94,ppb,
NOx,2021/06,9.56,ppb,
NOx,2021/07,9.38,ppb,
NOx,2021/08,11.43,ppb,
NOx,2021/09,12.8,ppb,
NOx,2021/10,16.26,ppb,
NOx,2021/11,22.23,ppb,
NOx,2021/12,22.54,ppb,
O3,2021/01,20.88,ppb,
O3,2021/02,25.91,ppb,
O3,2021/03,22.43,ppb,
O3,2021/04,30.89,ppb,
O3,2021/05,20.41,ppb,
O3,2021/06,19.28,ppb,
O3,2021/07,22.63,ppb,
O3,2021/08,22.19,ppb,
O3,2021/09,31.93,ppb,
O3,2021/10,33.82,ppb,
O3,2021/11,24.6,ppb,
O3,2021/12,24.1,ppb,
PM10,2021/01,44.6,μg/m3,
PM10,2021/02,55.2,μg/m3,
PM10,2021/03,52.5,μg/m3,
PM10,2021/04,43.5,μg/m3,
PM10,2021/05,29,μg/m3,
PM10,2021/06,17.8,μg/m3,
PM10,2021/07,20.1,μg/m3,
PM10,2021/08,20.1,μg/m3,
PM10,2021/09,30.4,μg/m3,
PM10,2021/10,34.2,μg/m3,
PM10,2021/11,37.1,μg/m3,
PM10,2021/12,34.9,μg/m3,
PM2.5,2021/01,25.7,μg/m3,
PM2.5,2021/02,32.4,μg/m3,
PM2.5,2021/03,29.6,μg/m3,
PM2.5,2021/04,20.6,μg/m3,
PM2.5,2021/05,11.8,μg/m3,
PM2.5,2021/06,6.2,μg/m3,
PM2.5,2021/07,9.9,μg/m3,
PM2.5,2021/08,10.5,μg/m3,
PM2.5,2021/09,17,μg/m3,
PM2.5,2021/10,18.9,μg/m3,
PM2.5,2021/11,18.4,μg/m3,
PM2.5,2021/12,17.8,μg/m3,
SO2,2021/01,2.71,ppb,
SO2,2021/02,3.29,ppb,
SO2,2021/03,3.93,ppb,無效
SO2,2021/04,,ppb,無效
SO2,2021/05,2.57,ppb,
SO2,2021/06,2.03,ppb,
SO2,2021/07,1.68,ppb,
SO2,2021/08,1.68,ppb,
SO2,2021/09,1.99,ppb,
SO2,2021/10,1.96,ppb,
SO2,2021/11,1.95,ppb,
SO2,2021/12,1.65,ppb,
THC,2021/01,2.12,ppm,
THC,2021/02,2.1,ppm,
THC,2021/03,2.28,ppm,
THC,2021/04,2.26,ppm,
THC,2021/05,2.08,ppm,
THC,2021/06,2.05,ppm,
THC,2021/07,2.03,ppm,
THC,2021/08,2.24,ppm,
THC,2021/09,2.22,ppm,
THC,2021/10,2.29,ppm,
THC,2021/11,2.38,ppm,
THC,2021/12,2.41,ppm,
