月平均值查詢-花蓮
資料時間：2021年
"測項","日期","平均值","單位","備註"
CH4,2021/11,1.96,ppm,無效
CH4,2021/12,1.98,ppm,
CO,2021/01,0.31,ppm,
CO,2021/02,0.24,ppm,
CO,2021/03,0.29,ppm,
CO,2021/04,0.26,ppm,
CO,2021/05,0.16,ppm,
CO,2021/06,0.15,ppm,
CO,2021/07,0.1,ppm,
CO,2021/08,0.14,ppm,
CO,2021/09,0.14,ppm,
CO,2021/10,0.2,ppm,
CO,2021/11,0.27,ppm,
CO,2021/12,0.27,ppm,
NMHC,2021/11,0.03,ppm,無效
NMHC,2021/12,0.03,ppm,
NO,2021/01,1.89,ppb,
NO,2021/02,1.56,ppb,
NO,2021/03,1.56,ppb,
NO,2021/04,1.57,ppb,
NO,2021/05,1.61,ppb,
NO,2021/06,1.31,ppb,
NO,2021/07,1.05,ppb,
NO,2021/08,1.08,ppb,
NO,2021/09,1.07,ppb,
NO,2021/10,1.08,ppb,
NO,2021/11,1.34,ppb,
NO,2021/12,1.27,ppb,
NO2,2021/01,7.01,ppb,
NO2,2021/02,4.85,ppb,
NO2,2021/03,5.2,ppb,
NO2,2021/04,4.83,ppb,
NO2,2021/05,3.06,ppb,
NO2,2021/06,2.73,ppb,
NO2,2021/07,3.38,ppb,
NO2,2021/08,3.91,ppb,
NO2,2021/09,3.93,ppb,
NO2,2021/10,5.02,ppb,
NO2,2021/11,8.44,ppb,
NO2,2021/12,6.93,ppb,
NOx,2021/01,8.94,ppb,
NOx,2021/02,6.46,ppb,
NOx,2021/03,6.8,ppb,
NOx,2021/04,6.44,ppb,
NOx,2021/05,4.72,ppb,
NOx,2021/06,4.08,ppb,
NOx,2021/07,4.49,ppb,
NOx,2021/08,5.04,ppb,
NOx,2021/09,5.06,ppb,
NOx,2021/10,6.16,ppb,
NOx,2021/11,9.83,ppb,
NOx,2021/12,8.25,ppb,
O3,2021/01,30.56,ppb,
O3,2021/02,34.68,ppb,
O3,2021/03,31.93,ppb,
O3,2021/04,36.72,ppb,
O3,2021/05,24.98,ppb,
O3,2021/06,23.92,ppb,
O3,2021/07,19.28,ppb,
O3,2021/08,16.06,ppb,
O3,2021/09,16.95,ppb,
O3,2021/10,29.45,ppb,
O3,2021/11,30.53,ppb,
O3,2021/12,30.47,ppb,
PM10,2021/01,21,μg/m3,
PM10,2021/02,20.7,μg/m3,
PM10,2021/03,21.9,μg/m3,
PM10,2021/04,24,μg/m3,
PM10,2021/05,17.2,μg/m3,
PM10,2021/06,13.7,μg/m3,
PM10,2021/07,17.5,μg/m3,
PM10,2021/08,15.9,μg/m3,
PM10,2021/09,14.1,μg/m3,
PM10,2021/10,16,μg/m3,
PM10,2021/11,18.5,μg/m3,
PM10,2021/12,17.9,μg/m3,
PM2.5,2021/01,9.6,μg/m3,
PM2.5,2021/02,10.5,μg/m3,
PM2.5,2021/03,10.5,μg/m3,
PM2.5,2021/04,10.3,μg/m3,
PM2.5,2021/05,7.3,μg/m3,
PM2.5,2021/06,5.7,μg/m3,
PM2.5,2021/07,6.5,μg/m3,
PM2.5,2021/08,6.1,μg/m3,
PM2.5,2021/09,5.9,μg/m3,
PM2.5,2021/10,5.9,μg/m3,
PM2.5,2021/11,7.1,μg/m3,
PM2.5,2021/12,8.2,μg/m3,
SO2,2021/01,1.21,ppb,
SO2,2021/02,1.18,ppb,
SO2,2021/03,1.36,ppb,
SO2,2021/04,1.4,ppb,
SO2,2021/05,1.24,ppb,
SO2,2021/06,1.11,ppb,
SO2,2021/07,0.81,ppb,
SO2,2021/08,0.71,ppb,
SO2,2021/09,0.59,ppb,
SO2,2021/10,0.71,ppb,
SO2,2021/11,0.93,ppb,
SO2,2021/12,0.82,ppb,
THC,2021/11,2,ppm,無效
THC,2021/12,2.02,ppm,
